id,name,transport_type,latitude,longitude,zone,degree,geom_wkt
59,DDD_Arrêt_5,BUS,14.683778167052438,-17.44823831447991,Zone_Dakar,20,POINT (-17.44823831447991 14.683778167052438)
60,DDD_Arrêt_6,BUS,14.675756988386226,-17.452007335818706,Zone_Dakar,16,POINT (-17.452007335818706 14.675756988386226)
61,DDD_Arrêt_7,BUS,14.684507350524484,-17.458603123161907,Zone_Dakar,16,POINT (-17.458603123161907 14.684507350524484)
62,DDD_Arrêt_8,BUS,14.691252182340563,-17.453514944354197,Zone_Dakar,22,POINT (-17.453514944354197 14.691252182340563)
63,DDD_Arrêt_9,BUS,14.693075074129297,-17.473867659584272,Zone_Dakar,12,POINT (-17.473867659584272 14.693075074129297)
64,DDD_Arrêt_10,BUS,14.697449952371272,-17.427697148183228,Zone_Dakar,6,POINT (-17.427697148183228 14.697449952371272)
65,DDD_Arrêt_11,BUS,14.701824742994958,-17.438627310065698,Zone_Dakar,20,POINT (-17.438627310065698 14.701824742994958)
66,DDD_Arrêt_12,BUS,14.704012105442544,-17.45106508048434,Zone_Dakar,24,POINT (-17.45106508048434 14.704012105442544)
67,DDD_Arrêt_13,BUS,14.704376663719444,-17.459733829563532,Zone_Dakar,28,POINT (-17.459733829563532 14.704376663719444)
68,DDD_Arrêt_14,BUS,14.705652612897978,-17.47028708931211,Zone_Dakar,18,POINT (-17.47028708931211 14.705652612897978)
69,DDD_Arrêt_15,BUS,14.708386764594252,-17.48065189799408,Zone_Dakar,14,POINT (-17.48065189799408 14.708386764594252)
70,DDD_Arrêt_16,BUS,14.72260380119117,-17.470852442513234,Zone_Dakar,28,POINT (-17.470852442513234 14.72260380119117)
71,DDD_Arrêt_17,BUS,14.717864889753628,-17.4563417173718,Zone_Dakar,20,POINT (-17.4563417173718 14.717864889753628)
72,DDD_Arrêt_18,BUS,14.714037234040816,-17.4408887298828,Zone_Dakar,18,POINT (-17.4408887298828 14.714037234040816)
73,DDD_Arrêt_19,BUS,14.721327948951341,-17.433350687205262,Zone_Dakar,20,POINT (-17.433350687205262 14.721327948951341)
74,DDD_Arrêt_20,BUS,14.728071643235253,-17.450311283229752,Zone_Dakar,24,POINT (-17.450311283229752 14.728071643235253)
75,DDD_Arrêt_21,BUS,14.720416622914826,-17.44899212576155,Zone_Dakar,26,POINT (-17.44899212576155 14.720416622914826)
76,DDD_Arrêt_22,BUS,14.736273152389032,-17.46312595578226,Zone_Dakar,20,POINT (-17.46312595578226 14.736273152389032)
77,DDD_Arrêt_23,BUS,14.743745369687161,-17.51250013532092,Zone_Dakar,6,POINT (-17.51250013532092 14.743745369687161)
78,DDD_Arrêt_24,BUS,14.747936989071547,-17.490639811555354,Zone_Dakar,8,POINT (-17.490639811555354 14.747936989071547)
79,DDD_Arrêt_25,BUS,14.741376157814514,-17.47047554739254,Zone_Dakar,14,POINT (-17.47047554739254 14.741376157814514)
80,DDD_Arrêt_26,BUS,14.747572503634188,-17.4623721515145,Zone_Dakar,14,POINT (-17.4623721515145 14.747572503634188)
81,DDD_Arrêt_27,BUS,14.759782433463599,-17.45200734283256,Zone_Dakar,14,POINT (-17.45200734283256 14.759782433463599)
82,DDD_Arrêt_28,BUS,14.739735919111027,-17.447484517226002,Zone_Dakar,28,POINT (-17.447484517226002 14.739735919111027)
83,DDD_Arrêt_29,BUS,14.738642419777477,-17.507600407580497,Zone_Dakar,8,POINT (-17.507600407580497 14.738642419777477)
84,DDD_Arrêt_30,BUS,14.725519999660406,-17.49101671368922,Zone_Dakar,12,POINT (-17.49101671368922 14.725519999660406)
85,DDD_Arrêt_31,BUS,14.716771280689542,-17.489886007287595,Zone_Dakar,12,POINT (-17.489886007287595 14.716771280689542)
86,DDD_Arrêt_32,BUS,14.726431304366486,-17.500627718103402,Zone_Dakar,8,POINT (-17.500627718103402 14.726431304366486)
87,DDD_Arrêt_33,BUS,14.750123888883053,-17.445034653355492,Zone_Dakar,26,POINT (-17.445034653355492 14.750123888883053)
88,DDD_Arrêt_34,BUS,14.753221959327078,-17.437496610677925,Zone_Dakar,28,POINT (-17.437496610677925 14.753221959327078)
89,DDD_Arrêt_35,BUS,14.758324567421965,-17.442019436284426,Zone_Dakar,20,POINT (-17.442019436284426 14.758324567421965)
90,DDD_Arrêt_36,BUS,14.76288036635205,-17.437496610677925,Zone_Dakar,16,POINT (-17.437496610677925 14.76288036635205)
91,DDD_Arrêt_37,BUS,14.759782433463599,-17.431843078669772,Zone_Dakar,22,POINT (-17.431843078669772 14.759782433463599)
92,DDD_Arrêt_38,BUS,14.767253843518901,-17.428450959464868,Zone_Dakar,20,POINT (-17.428450959464868 14.767253843518901)
93,DDD_Arrêt_39,BUS,14.737548914955212,-17.436177453209012,Zone_Dakar,24,POINT (-17.436177453209012 14.737548914955212)
94,DDD_Arrêt_40,BUS,14.73463287525621,-17.42977011693307,Zone_Dakar,22,POINT (-17.42977011693307 14.73463287525621)
95,DDD_Arrêt_41,BUS,14.729711969760672,-17.427697155196398,Zone_Dakar,18,POINT (-17.427697155196398 14.729711969760672)
96,DDD_Arrêt_42,BUS,14.733721604845215,-17.422608976389398,Zone_Dakar,16,POINT (-17.422608976389398 14.733721604845215)
97,DDD_Arrêt_43,BUS,14.74174065362729,-17.424305035991523,Zone_Dakar,22,POINT (-17.424305035991523 14.74174065362729)
98,DDD_Arrêt_44,BUS,14.737002160484067,-17.413940227310235,Zone_Dakar,16,POINT (-17.413940227310235 14.737002160484067)
99,DDD_Arrêt_45,BUS,14.759235734843557,-17.423362780657158,Zone_Dakar,28,POINT (-17.423362780657158 14.759235734843557)
100,DDD_Arrêt_46,BUS,14.730258742525223,-17.45992228764399,Zone_Dakar,22,POINT (-17.45992228764399 14.730258742525223)
101,DDD_Arrêt_47,BUS,14.720598888427062,-17.46538736858554,Zone_Dakar,26,POINT (-17.46538736858554 14.720598888427062)
102,DDD_Arrêt_48,BUS,14.743384552809431,-17.408846356678396,Zone_Dakar,18,POINT (-17.408846356678396 14.743384552809431)
103,DDD_Arrêt_49,BUS,14.767439744997105,-17.419964969627472,Zone_Dakar,28,POINT (-17.419964969627472 14.767439744997105)
104,DDD_Arrêt_50,BUS,14.768168648680202,-17.412238475883328,Zone_Dakar,26,POINT (-17.412238475883328 14.768168648680202)
105,DDD_Arrêt_51,BUS,14.777461956326547,-17.41129622054828,Zone_Dakar,24,POINT (-17.41129622054828 14.777461956326547)
106,DDD_Arrêt_52,BUS,14.771630907789927,-17.407338748142877,Zone_Dakar,28,POINT (-17.407338748142877 14.771630907789927)
107,DDD_Arrêt_53,BUS,14.771813130425954,-17.40036605866584,Zone_Dakar,32,POINT (-17.40036605866584 14.771813130425954)
108,DDD_Arrêt_54,BUS,14.779830775083013,-17.39810464586256,Zone_Dakar,26,POINT (-17.39810464586256 14.779830775083013)
109,DDD_Arrêt_55,BUS,14.784932758487244,-17.392262662787118,Zone_Dakar,20,POINT (-17.392262662787118 14.784932758487244)
110,DDD_Arrêt_56,BUS,14.78037742189646,-17.390189701051128,Zone_Dakar,28,POINT (-17.390189701051128 14.78037742189646)
111,DDD_Arrêt_57,BUS,14.778555260501676,-17.384347717975658,Zone_Dakar,24,POINT (-17.384347717975658 14.778555260501676)
112,DDD_Arrêt_58,BUS,14.77691530217487,-17.37888263703411,Zone_Dakar,26,POINT (-17.37888263703411 14.77691530217487)
113,DDD_Arrêt_59,BUS,14.786208235605045,-17.37605587103036,Zone_Dakar,16,POINT (-17.37605587103036 14.786208235605045)
114,DDD_Arrêt_60,BUS,14.779466343109789,-17.370590790088812,Zone_Dakar,18,POINT (-17.370590790088812 14.779466343109789)
115,DDD_Arrêt_61,BUS,14.752496680968264,-17.403758177870714,Zone_Dakar,22,POINT (-17.403758177870714 14.752496680968264)
116,DDD_Arrêt_62,BUS,14.761243965009797,-17.399423803330762,Zone_Dakar,26,POINT (-17.399423803330762 14.761243965009797)
117,DDD_Arrêt_63,BUS,14.765617475095453,-17.389624347849974,Zone_Dakar,34,POINT (-17.389624347849974 14.765617475095453)
118,DDD_Arrêt_64,BUS,14.754319060816826,-17.392262662787118,Zone_Dakar,20,POINT (-17.392262662787118 14.754319060816826)
119,DDD_Arrêt_65,BUS,14.761426196352758,-17.382274756239013,Zone_Dakar,30,POINT (-17.382274756239013 14.761426196352758)
120,DDD_Arrêt_66,BUS,14.76999089719294,-17.37341755609259,Zone_Dakar,24,POINT (-17.37341755609259 14.76999089719294)
121,DDD_Arrêt_67,BUS,14.75504800848212,-17.381897854105148,Zone_Dakar,24,POINT (-17.381897854105148 14.75504800848212)
122,DDD_Arrêt_68,BUS,14.750127564347025,-17.37737502849862,Zone_Dakar,18,POINT (-17.37737502849862 14.750127564347025)
123,DDD_Arrêt_69,BUS,14.744842518948445,-17.375490517829235,Zone_Dakar,14,POINT (-17.375490517829235 14.744842518948445)
124,DDD_Arrêt_70,BUS,14.747029449849336,-17.35739921540241,Zone_Dakar,8,POINT (-17.35739921540241 14.747029449849336)
125,DDD_Arrêt_71,BUS,14.755594717628497,-17.363618100611745,Zone_Dakar,16,POINT (-17.363618100611745 14.755594717628497)
126,DDD_Arrêt_72,BUS,14.763066271570253,-17.367952475151668,Zone_Dakar,24,POINT (-17.367952475151668 14.763066271570253)
127,DDD_Arrêt_73,BUS,14.772177575238757,-17.3609797856746,Zone_Dakar,12,POINT (-17.3609797856746 14.772177575238757)
128,DDD_Arrêt_74,BUS,14.782181390866228,-17.323873806882574,Zone_Dakar,16,POINT (-17.323873806882574 14.782181390866228)
129,DDD_Arrêt_75,BUS,14.779630381824248,-17.338007636903313,Zone_Dakar,16,POINT (-17.338007636903313 14.779630381824248)
130,DDD_Arrêt_76,BUS,14.769243821403407,-17.337819185836054,Zone_Dakar,12,POINT (-17.337819185836054 14.769243821403407)
131,DDD_Arrêt_77,BUS,14.793478356295608,-17.335557773032775,Zone_Dakar,10,POINT (-17.335557773032775 14.793478356295608)
132,DDD_Arrêt_78,BUS,14.789834238147506,-17.34045750077317,Zone_Dakar,14,POINT (-17.34045750077317 14.789834238147506)
133,DDD_Arrêt_79,BUS,14.791109686460516,-17.32783127928795,Zone_Dakar,14,POINT (-17.32783127928795 14.791109686460516)
134,DDD_Arrêt_80,BUS,14.77762599655425,-17.321235491944776,Zone_Dakar,16,POINT (-17.321235491944776 14.77762599655425)
135,DDD_Arrêt_81,BUS,14.773070506698389,-17.316524215271613,Zone_Dakar,12,POINT (-17.316524215271613 14.773070506698389)
136,DDD_Arrêt_82,BUS,14.771066060900878,-17.33065804529238,Zone_Dakar,14,POINT (-17.33065804529238 14.771066060900878)
