id,name,longitude,latitude,transport_type,zone,mode_label,geom_wkt
51,Grand Théâtre National,-17.4368194,14.6793591,POI,Plateau,Point d'Intérêt JOJ 2026,POINT (-17.4368194 14.6793591)
52,Musée Théodore Monod,-17.4381979,14.6634511,POI,Plateau,Point d'Intérêt JOJ 2026,POINT (-17.4381979 14.6634511)
53,Embarcadère Port,-17.4285862,14.6732412,POI,Plateau,Point d'Intérêt JOJ 2026,POINT (-17.4285862 14.6732412)
54,Île de Gorée,-17.3984124,14.6659085,POI,Gorée,Point d'Intérêt JOJ 2026,POINT (-17.3984124 14.6659085)
55,DDD_Arrêt_1,-17.434858289,14.669193987,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.434858289 14.669193987)
56,DDD_Arrêt_2,-17.443527038,14.673387038,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.443527038 14.673387038)
57,DDD_Arrêt_3,-17.437496604,14.658984483,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.437496604 14.658984483)
58,DDD_Arrêt_4,-17.437308153,14.684507351,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.437308153 14.684507351)
59,DDD_Arrêt_5,-17.448238314,14.683778167,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.448238314 14.683778167)
60,DDD_Arrêt_6,-17.452007336,14.675756988,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.452007336 14.675756988)
61,DDD_Arrêt_7,-17.458603123,14.684507351,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.458603123 14.684507351)
62,DDD_Arrêt_8,-17.453514944,14.691252182,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.453514944 14.691252182)
63,DDD_Arrêt_9,-17.47386766,14.693075074,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.47386766 14.693075074)
64,DDD_Arrêt_10,-17.427697148,14.697449952,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.427697148 14.697449952)
65,DDD_Arrêt_11,-17.43862731,14.701824743,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.43862731 14.701824743)
66,DDD_Arrêt_12,-17.45106508,14.704012105,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.45106508 14.704012105)
67,DDD_Arrêt_13,-17.45973383,14.704376664,BUS,Zone_Dakar,Bus DDD (Dem Dikk),POINT (-17.45973383 14.704376664)
